object_id,ra,dec,key,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
38d04m36pt85454668s-44d20m47pt45540542s,38.076904040744495,-44.34651539039307,rxj0232m44,0.3861015400948259,0.036051421632358104,0.07102946525626734,6.699208964321516,0.12930254403089175
4d46m56pt37672986s-20d26m43pt35221169s,4.782326869404984,-20.44537561435892,s26,0.004009865994103981,0.00010921879523649921,0.00017497905292108314,0.0076904633044468035,0.00041001202174796266
4d47m15pt15971359s-20d26m34pt5520152s,4.787544364885602,-20.442931115334574,s26,-0.006354402140080668,-0.000199251287616259,-0.0003568543639036722,-0.051373670379550325,-4.194840098895918e-05
4d46m59pt15152699s-20d26m28pt35221793s,4.78309764638728,-20.441208949424723,s26,0.2848338661587856,0.023699627724724514,0.045585473799957615,3.9203255430023582,0.08000053587096706
224d52m11pt15052862s-18d11m12pt00763245s,224.8697640357269,-18.186668786790314,s780,0.026124933433501616,-0.0006100516080738647,-0.001559648306455989,-0.25423940187570737,-0.0070901461041082085
224d52m15pt36113317s-18d10m25pt20766811s,224.87093364810238,-18.173668796698543,s780,-0.11917037156227282,-0.00320580666303845,-0.005287889405614624,-0.546089092481571,-0.008212649490438475
224d52m14pt93999625s-18d10m45pt80766572s,224.870816665625,-18.179391018255398,s780,4.066975972027622,0.1901006830496627,0.34152325894192026,32.775727633338825,0.6568015947753558
224d52m16pt41356234s-18d10m42pt80767292s,224.87122598953792,-18.178557686921437,s780,2.5912601118325003,0.1494446560138275,0.28183746037650503,27.80999151564573,0.5613456239847895
224d52m28pt20175298s-18d10m30pt40761811s,224.8745004869401,-18.175113227253682,s780,0.38211139767313873,0.015393807118454526,0.0259370173415907,1.9657841914773095,0.031801193991492505
57d56m48pt79154107s-73d58m48pt60684687s,57.94688653918589,-73.98016856857441,a3186,0.020705546875506256,0.0006190167497323701,0.0010237964293976865,0.07316669574817354,0.0011726907722527467
57d57m19pt18502289s-73d58m03pt20516538s,57.955329173023635,-73.96755699038196,a3186,0.18628002765381318,0.010399860910248821,0.01852899508343981,1.4502362804978284,0.029337363280193512
57d56m58pt90723155s-73d58m01pt20641911s,57.949696453207565,-73.96700178308524,a3186,0.1151965116994842,0.006141284626776625,0.010859384310050414,0.8669096216969696,0.016734240071171164
57d56m53pt83982568s-73d58m04pt00664979s,57.94828884046664,-73.96777962494207,a3186,0.058057167637793075,0.003041807155363216,0.005333961747325008,0.44041704730405573,0.007886586741649543
77d34m26pt41964476s-45d19m21pt89816852s,77.574005456878,-45.32274949125679,a3322,0.4661776123785018,0.023123892384218123,0.04126258225089445,3.8317645180667905,0.06251929296791928
77d33m52pt28579072s-45d19m21pt29705831s,77.56452383075523,-45.32258251619784,a3322,0.048177609196486705,0.002628199571831238,0.004810076883489559,0.4583053922313219,0.008004574196466323
77d34m16pt46489436s-45d18m50pt09813663s,77.57124024843284,-45.313916149064454,a3322,0.038341504710013616,0.001327013336745454,0.0022108869637450916,0.14279227625999943,0.0034090764875373456
86d54m02pt06828667s-31d52m21pt54405832s,86.90057452407386,-31.8726511273119,a3364,0.02930410793557059,0.0009969869917031793,0.0016219056257686959,0.08828585837737588,0.0017707811451504894
91d28m01pt55559375s-35d18m25pt74619137s,91.46709877604255,-35.30715171982486,a3378,-0.00530667810445531,-0.0003723040420700009,-0.0006930385712772799,-0.023988268054530058,-0.0008479049911570526
91d28m58pt16999931s-35d17m42pt95100288s,91.4828249998071,-35.29526416746644,a3378,-0.002734727369597565,-0.00033571651983719923,-0.000662369981309459,-0.02060981032574222,-0.001235589421549138
91d28m53pt02331169s-35d17m59pt55086774s,91.48139536435897,-35.299875241038585,a3378,-0.004215075376788903,-0.00014778360963371817,-0.0003074122759199296,-0.04734003060375805,-0.000930477550208461
91d28m44pt69130426s-35d18m00pt75052166s,91.47908091784922,-35.30020847823766,a3378,0.08874871971607658,0.004089728147955289,0.007090516611594812,0.6444903768054416,0.012023842932066769
91d28m43pt71113891s-35d17m59pt95047053s,91.47880864969667,-35.29998624181484,a3378,0.13990825779192514,0.006735848703712971,0.011824536271231059,1.1064291085041038,0.019403669089136006
91d28m43pt71105887s-35d18m00pt9504705s,91.47880862746408,-35.30026401958398,a3378,0.07722809452216499,0.0036580311639524813,0.0063288809163183045,0.563722115631261,0.010790307178881462
91d28m32pt43779589s-35d18m06pt14972423s,91.47567716552496,-35.301708256729235,a3378,1.4113686793434876,0.07777602042104353,0.14099418921968063,14.452656285251134,0.23463346309278946
91d28m04pt50211571s-35d17m59pt74662321s,91.46791725436461,-35.29992961755859,a3378,0.020371483491912524,0.0010820514100561287,0.0019300601418433283,0.12077334042252737,0.0028349777430384197
91d28m28pt02579828s-35d18m12pt74935296s,91.47445161063362,-35.3035414869335,a3378,0.20373836248919194,0.011284875527816658,0.020449797913473015,2.0530483574788336,0.033327112370231914
91d28m26pt55567156s-35d18m10pt74921944s,91.47404324209927,-35.30298589428815,a3378,0.3274754310347243,0.017878824812996682,0.03232659498386407,3.2794397937048894,0.053488387961450244
