object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
4d45m39pt2142948s-40d51m33pt60754707s,4.760892859665771,-40.85933542974102,0.0,0.0,0.0,0.0,0.0
4d45m51pt11481506s-40d51m45pt80729101s,4.764198559739286,-40.862724247501895,0.0,0.0,0.0,0.0,0.0
4d45m49pt52797661s-40d51m43pt60734478s,4.763757771280492,-40.862113151328316,0.0,0.0,0.0,0.0,0.0
6d51m29pt34954568s26d06m43pt24716465s,6.8581526515791404,26.11201310129174,0.0,0.0,0.0,0.0,0.0
6d51m53pt18242635s26d07m25pt44751243s,6.864772896208636,26.12373542011841,0.0,0.0,0.0,0.0,0.0
6d55m59pt84380653s26d16m16pt59913458s,6.933289946256946,26.271277537384236,0.0,0.0,0.0,0.0,0.0
6d56m17pt01762799s26d16m09pt99921007s,6.938060452220176,26.26944422501862,0.0,0.0,0.0,0.0,0.0
7d01m34pt1974354s-75d38m08pt43216435s,7.026165954278846,-75.63567560120777,0.0,0.0,0.0,0.0,0.0
8d02m47pt09655564s18d08m51pt60579824s,8.046415709899861,18.147668277288183,0.0,0.0,0.0,0.0,0.0
8d02m35pt52050175s18d08m58pt20551832s,8.043200139374601,18.149501532867337,0.0,0.0,0.0,0.0,0.0
8d03m05pt19704876s18d09m02pt80585028s,8.051443624655189,18.15077940285534,0.0,0.0,0.0,0.0,0.0
8d28m12pt32957902s-7d52m32pt20133609s,8.47009154972909,-7.875611482247887,0.0,0.0,0.0,0.0,0.0
8d27m50pt12046461s-7d52m03pt00122377s,8.46392235128097,-7.867500339937108,0.0,0.0,0.0,0.0,0.0
8d28m41pt604992s-7d51m59pt20098902s,8.478223608888783,-7.866444719172139,0.0,0.0,0.0,0.0,0.0
8d28m23pt63602941s-7d52m12pt40126884s,8.47323223039076,-7.870111463567701,0.0,0.0,0.0,0.0,0.0
8d37m19pt76273492s2d25m00pt32498946s,8.622156315256571,2.416756941516139,0.0,0.0,0.0,0.0,0.0
8d36m52pt73873908s2d25m14pt32514144s,8.614649649744297,2.4206458726225755,0.0,0.0,0.0,0.0,0.0
8d36m53pt7396396s2d25m16pt72513846s,8.614927677665994,2.4213125384601866,0.0,0.0,0.0,0.0,0.0
8d37m24pt36688605s2d25m06pt32494849s,8.62343524612455,2.4184235968031413,0.0,0.0,0.0,0.0,0.0
8d37m10pt15434495s2d25m24pt52506028s,8.619487318043038,2.423479183410281,0.0,0.0,0.0,0.0,0.0
8d44m29pt97104791s2d34m00pt39179231s,8.741658624419124,2.5667754978644983,0.0,0.0,0.0,0.0,0.0
8d44m08pt54961201s2d33m49pt19173596s,8.735708225557154,2.563664371100013,0.0,0.0,0.0,0.0,0.0
8d43m55pt93713655s2d33m29pt99165659s,8.732204760152287,2.5583310157194243,0.0,0.0,0.0,0.0,0.0
8d43m58pt33951374s2d33m32pt39167439s,8.73287208715128,2.5589976873294926,0.0,0.0,0.0,0.0,0.0
12d54m12pt50705881s27d19m41pt07114923s,12.903474183002112,27.328075319230518,0.0,0.0,0.0,0.0,0.0
12d54m57pt08270016s27d19m55pt67132128s,12.915856305599698,27.332130922578326,0.0,0.0,0.0,0.0,0.0
12d54m34pt1191408s27d19m39pt47172348s,12.909477539110501,27.32763103430021,0.0,0.0,0.0,0.0,0.0
17d52m26pt11573256s8d55m40pt5527223s,17.873921036823326,8.927931311749049,0.0,0.0,0.0,0.0,0.0
17d53m07pt61874487s8d56m05pt75307645s,17.885449651352566,8.934931410123806,0.0,0.0,0.0,0.0,0.0
24d30m55pt80557939s-21d55m31pt49246619s,24.515501549831114,-21.925414573940934,0.0,0.0,0.0,0.0,0.0
24d30m59pt90139654s-21d55m09pt49240601s,24.51663927681674,-21.919303446115237,0.0,0.0,0.0,0.0,0.0
24d31m02pt27310359s-21d55m20pt2923582s,24.517298084329358,-21.922303432833232,0.0,0.0,0.0,0.0,0.0
24d30m35pt75502313s-21d55m44pt49235452s,24.50993195086999,-21.929025654033342,0.0,0.0,0.0,0.0,0.0
24d30m37pt04859018s-21d55m45pt69238209s,24.51029127504925,-21.929358995024447,0.0,0.0,0.0,0.0,0.0
24d30m57pt53061573s-21d55m48pt89244417s,24.5159807265927,-21.93024790115726,0.0,0.0,0.0,0.0,0.0
24d31m00pt33295145s-21d55m27pt09239796s,24.516759153179958,-21.924192332766825,0.0,0.0,0.0,0.0,0.0
24d30m58pt17739765s-21d55m47pt69243466s,24.516160388235388,-21.929914565184216,0.0,0.0,0.0,0.0,0.0
24d30m53pt43392294s-21d55m16pt69248821s,24.514842756371863,-21.921303468945958,0.0,0.0,0.0,0.0,0.0
25d00m17pt15509315s-5d55m07pt39686965s,25.004765303652032,-5.918721352679324,0.0,0.0,0.0,0.0,0.0
25d01m39pt35696146s-34d10m31pt20016587s,25.02759915596234,-34.175333379408116,0.0,0.0,0.0,0.0,0.0
25d01m36pt45600265s-34d10m26pt6001902s,25.026793334068856,-34.17405560838989,0.0,0.0,0.0,0.0,0.0
28d07m52pt64210062s-28d53m03pt97154321s,28.13128947239406,-28.884436539781305,0.0,0.0,0.0,0.0,0.0
28d07m06pt27061441s-28d53m28pt16925471s,28.11840850400225,-28.891158126309538,0.0,0.0,0.0,0.0,0.0
28d07m28pt65921543s-28d52m52pt17091043s,28.124627559841763,-28.881158586229237,0.0,0.0,0.0,0.0,0.0
29d46m00pt19654s-34d13m31pt49453773s,29.766721261111446,-34.225415149368395,0.0,0.0,0.0,0.0,0.0
34d19m31pt98968793s-52d45m42pt50028208s,34.32555269109046,-52.761805633911635,0.0,0.0,0.0,0.0,0.0
34d18m39pt1087464s-52d45m32pt50304245s,34.310863540665665,-52.75902862290355,0.0,0.0,0.0,0.0,0.0
34d18m15pt97052766s-52d45m56pt5021961s,34.3044362576841,-52.76569505447286,0.0,0.0,0.0,0.0,0.0
34d34m55pt73093721s-31d41m56pt42873486s,34.58214748255707,-31.699007981905503,0.0,0.0,0.0,0.0,0.0
34d34m31pt75522611s-31d41m36pt42835792s,34.57548756280794,-31.69345232164579,0.0,0.0,0.0,0.0,0.0
34d34m43pt74198831s-31d42m20pt22870196s,34.578817218975026,-31.705619083879018,0.0,0.0,0.0,0.0,0.0
38d04m43pt56908128s-44d20m30pt25594442s,38.07876918924535,-44.34173776233986,0.0,0.0,0.0,0.0,0.0
38d04m51pt11588217s-44d21m05pt45641969s,38.08086552282515,-44.35151567213619,0.0,0.0,0.0,0.0,0.0
38d04m52pt23490236s-44d21m03pt05647846s,38.08117636176589,-44.350849021793245,0.0,0.0,0.0,0.0,0.0
38d04m38pt81394627s-44d20m37pt055574s,38.077448318407335,-44.34362654833203,0.0,0.0,0.0,0.0,0.0
38d04m57pt55184527s-44d20m25pt65671619s,38.08265329035348,-44.34046019894167,0.0,0.0,0.0,0.0,0.0
38d04m12pt5165831s-44d21m10pt25253581s,38.07014349530422,-44.35284792661314,0.0,0.0,0.0,0.0,0.0
38d04m36pt85454668s-44d20m47pt45540542s,38.076904040744495,-44.34651539039307,0.0,0.0,0.0,0.0,0.0
4d46m56pt37672986s-20d26m43pt35221169s,4.782326869404984,-20.44537561435892,0.0,0.0,0.0,0.0,0.0
